1000,998,1,13.883768,32.000000,998000.000000,192435.000000
2000,1998,1,14.072072,32.000000,1998000.000000,192435.000000
3000,2998,1,14.156438,32.000000,2998000.000000,192435.000000
4000,3986,13,14.162067,9.770462,3986000.000000,1518615.000000
5000,4986,13,14.187726,9.770462,4986000.000000,1518615.000000
6000,5984,15,14.242983,9.534400,35245115.000000,1739645.000000
7000,6982,17,14.261094,9.353883,133309535.000000,1960675.000000
8000,7981,17,14.242660,9.353883,221914495.000000,1960675.000000
9000,8979,20,14.218273,9.150800,316198825.000000,2292220.000000
10000,9691,308,14.269102,20.603347,431043460.000000,63088930.000000
11000,10690,309,14.259479,20.562559,544297128.000000,63199445.000000
12000,11689,310,14.327563,20.522035,680991453.000000,63309960.000000
13000,12451,547,14.313941,24.227198,773814153.000000,129694100.000000
14000,13142,850,14.516145,23.569550,1045219113.000000,189061660.000000
15000,13391,1601,16.179644,25.245313,37145642448.000000,8803107325.000000
16000,13391,2601,16.179644,18.615564,37145642448.000000,43368882750.000000
17000,13391,3601,16.179644,15.667769,37145642448.000000,72628444420.000000
18000,13398,4595,16.181342,16.551541,37148093313.000000,75385927820.000000
19000,13415,5577,16.164712,15.511647,37150472223.000000,78599779235.000000
20000,13972,6020,17.687810,16.911076,52898977193.000000,79476495215.000000
21000,13972,7020,17.687810,15.641727,52898977193.000000,81270696640.000000
22000,13973,8019,17.687117,14.689752,52898978193.000000,82528462665.000000
23000,13973,9019,17.687117,13.948068,52898978193.000000,83052474515.000000
24000,14008,9984,17.665911,13.527817,52908285713.000000,84848469720.000000
25000,14917,10082,18.653839,13.925478,60304456398.000000,84986884230.000000
26000,15912,10087,18.551755,13.924920,60472105788.000000,84987578860.000000
27000,16703,10296,18.342663,14.003365,60555484363.000000,85036853175.000000
28000,16734,11264,18.337068,13.560402,60560349698.000000,85201226075.000000
29000,16769,12223,18.355566,13.185715,60585130793.000000,85812968725.000000
30000,16769,13223,18.355566,12.793561,60585130793.000000,86733182950.000000
31000,17240,13759,20.840467,12.620228,128064213053.000000,166852670080.000000
32000,17412,14585,20.798061,12.657669,128134783113.000000,166987243685.000000
33000,17576,15420,20.745000,12.779854,128210009388.000000,167278477215.000000
34000,17666,16333,20.725892,13.339503,128275638643.000000,167619007350.000000
35000,17773,17219,20.671332,14.996440,128323807708.000000,169054932045.000000
36000,17958,18041,20.587290,17.745406,128442806248.000000,172196734140.000000
37000,17981,19011,20.575638,19.385895,128450084583.000000,173238519230.000000
38000,17981,20018,20.575638,23.111649,128450084583.000000,177868175425.000000
39000,18012,20987,20.560823,25.177187,128456020358.000000,178345001840.000000
40000,18048,21946,20.538871,27.334401,128466701898.000000,178993586875.000000
41000,18052,22944,20.538751,29.505733,128469067808.000000,179719363055.000000
42000,18065,23927,20.535042,31.582156,128469080808.000000,180837600445.000000
43000,18093,24899,20.524266,33.900051,128475714693.000000,182857128075.000000
44000,18119,25880,20.510709,35.359063,128484157158.000000,184195749645.000000
45000,18177,26820,20.490869,36.970205,128508165293.000000,186134903455.000000
46000,18180,27817,20.490128,38.434015,128509349248.000000,186974563575.000000
47000,18182,28812,20.488754,40.162954,128509351248.000000,188746020655.000000
48000,18197,29797,20.486373,41.415203,128510547203.000000,189757123675.000000
49000,18206,30793,20.484595,41.581409,128514099068.000000,190066014745.000000
50000,18207,31786,20.484348,43.236120,128514100068.000000,193678269270.000000
51000,18208,32791,20.483663,44.208743,128514101068.000000,195066897435.000000
52000,18212,33787,20.482678,44.822052,128516466978.000000,195644310550.000000
53000,18213,34786,20.481992,46.069392,128516467978.000000,199301955025.000000
54000,18230,35762,20.476935,46.453719,128517665933.000000,199723207530.000000
55000,18666,36333,20.302394,46.702113,128575968728.000000,200055242415.000000
56000,19638,36361,20.005065,46.704158,128706047978.000000,200069633280.000000
57000,20601,36398,19.703093,46.665583,128834745018.000000,200071501080.000000
58000,21298,36701,19.520629,46.768291,128969532678.000000,200729621920.000000
59000,22268,36731,19.309607,46.744604,129111076098.000000,200734322350.000000
60000,22839,37157,19.071906,46.489474,129270455678.000000,200872243480.000000
61000,23461,37538,18.943491,46.124069,129361228613.000000,200936782240.000000
62000,24383,37616,18.752293,46.047886,129515026503.000000,200944954140.000000
63000,24886,38112,18.663834,45.912963,129582904208.000000,201781996166.000000
64000,25141,38851,19.530175,45.261672,168215448571.000000,228988215377.000000
65000,25141,39858,19.530175,44.559289,168215448571.000000,271778985279.000000
66000,25183,40809,19.512771,43.889381,168226201121.000000,272588088677.000000
67000,25753,41246,20.306552,43.812407,191241109282.000000,273076159519.000000
68000,26691,41307,20.143662,43.761647,191464554880.000000,273088923407.000000
69000,27689,41310,19.941876,43.759050,191550843630.000000,273089254952.000000
70000,28682,41317,19.750631,43.753790,191631009690.000000,273090351242.000000
71000,29161,41837,19.663028,43.472182,191674072625.000000,273182150462.000000
72000,29784,42215,19.535372,43.749473,191990352705.000000,273344234477.000000
73000,30781,42218,19.370861,43.748448,192138790700.000000,273344729862.000000
74000,31781,42218,19.206930,43.748448,192253355620.000000,273344729862.000000
75000,32777,42222,19.065638,43.745061,192351671165.000000,273345171922.000000
76000,32857,43138,19.051204,42.991270,192365044620.000000,273509121212.000000
77000,33819,43180,18.904296,42.960474,192494389535.000000,273513962967.000000
78000,34819,43180,18.765512,42.960474,192622519860.000000,273513962967.000000
79000,35819,43180,18.636124,42.960474,192801319400.000000,273513962967.000000
80000,36819,43180,18.519251,42.960474,192907604390.000000,273513962967.000000
81000,37819,43180,18.405598,42.960474,193009449705.000000,273513962967.000000
